"gid","gml_id","nombre","Tipo","combustibl","Potencia MW","Unidades","rca","Sistema Eléctrico","estado","Fecha Operación","Coordenada Este","Datum","Coordenada Norte","fuente_bas","fech_crea"
"1","solares_fd0779de_0870_4194_b962_83a842d8c316.1","CHANARES","FOTOVOLTAICO","NO APLICA","36.000000000000000","NO APLICA","223/2013","SIC","EN OPERACION","2015","392243","WGS/84","7082550.000000000000000","CNE","30-09-2015"
"2","solares_fd0779de_0870_4194_b962_83a842d8c316.2","ESPERANZA","FOTOVOLTAICO","NO APLICA","2.880000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2013","437354","WGS/84","7091674.000000000000000","CNE","10-12-2014"
"3","solares_fd0779de_0870_4194_b962_83a842d8c316.3","LALACKAMA","FOTOVOLTAICO","NO APLICA","71.500000000000000","NO APLICA","089/2013","SIC","EN OPERACION","2015","368629","WGS/84","7221216.000000000000000","CNE","30-09-2015"
"4","solares_fd0779de_0870_4194_b962_83a842d8c316.4","LLANO DE LLAMPOS","FOTOVOLTAICO","NO APLICA","101.019999999999996","NO APLICA","119/2013","SIC","EN OPERACION","2014","383921","WGS/84","7000014.000000000000000","CNE","10-12-2014"
"5","solares_fd0779de_0870_4194_b962_83a842d8c316.5","LOS PUQUIOS","FOTOVOLTAICO","NO APLICA","2.470000000000000","NO APLICA","NO APLICA","SING","EN OPERACION","2015","443089","WGS/84","7740030.000000000000000","CNE","31-12-2015"
"6","solares_fd0779de_0870_4194_b962_83a842d8c316.6","LUNA","FOTOVOLTAICO","NO APLICA","2.960000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2015","338021","WGS/84","6675572.000000000000000","CNE","31-12-2015"
"7","solares_fd0779de_0870_4194_b962_83a842d8c316.7","MARIA ELENA","FOTOVOLTAICO","NO APLICA","68.000000000000000","NO APLICA","142/2013","SING","EN OPERACION","2015","440571","WGS/84","7542664.000000000000000","CNE","10-12-2014"
"8","solares_fd0779de_0870_4194_b962_83a842d8c316.8","PMGD PICA I","FOTOVOLTAICO","NO APLICA","0.600000000000000","NO APLICA","NO APLICA","SING","EN OPERACION","2015","453180","WGS/84","7733210.000000000000000","CNE","31-12-2015"
"9","solares_fd0779de_0870_4194_b962_83a842d8c316.9","POZO ALMONTE SOLAR 1","FOTOVOLTAICO","NO APLICA","9.000000000000000","NO APLICA","061/2011","SING","EN OPERACION","2015","421448","WGS/84","7758618.000000000000000","CNE","31-12-2015"
"10","solares_fd0779de_0870_4194_b962_83a842d8c316.10","POZO ALMONTE SOLAR 2","FOTOVOLTAICO","NO APLICA","7.500000000000000","NO APLICA","042/2011","SING","EN OPERACION","2014","421467","WGS/84","7758012.000000000000000","CNE","10-12-2014"
"11","solares_fd0779de_0870_4194_b962_83a842d8c316.11","POZO ALMONTE SOLAR 3","FOTOVOLTAICO","NO APLICA","16.000000000000000","NO APLICA","062/2011","SING","EN OPERACION","2014","421642","WGS/84","7760809.000000000000000","CNE","10-12-2015"
"12","solares_fd0779de_0870_4194_b962_83a842d8c316.12","PV SALVADOR","FOTOVOLTAICO","NO APLICA","68.000000000000000","NO APLICA","240/2012","SIC","EN OPERACION","2015","413604","WGS/84","7089620.000000000000000","CNE","30-09-2015"
"13","solares_fd0779de_0870_4194_b962_83a842d8c316.13","SANTA CECILIA","FOTOVOLTAICO","NO APLICA","2.960000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2013","313828","WGS/84","6777519.000000000000000","CNE","10-12-2014"
"14","solares_fd0779de_0870_4194_b962_83a842d8c316.14","SDGX01","FOTOVOLTAICO","NO APLICA","1.280000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2013","298624","WGS/84","6654191.000000000000000","CNE","10-12-2014"
"15","solares_fd0779de_0870_4194_b962_83a842d8c316.15","SOL","FOTOVOLTAICO","NO APLICA","2.960000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2015","337664","WGS/84","6675581.000000000000000","CNE","31-12-2015"
"16","solares_fd0779de_0870_4194_b962_83a842d8c316.16","SOLAR DIEGO DE ALMAGRO","FOTOVOLTAICO","NO APLICA","28.050000000000001","NO APLICA","127/2013","SIC","EN OPERACION","2014","398241","WGS/84","7081948.000000000000000","CNE","10-12-2014"
"17","solares_fd0779de_0870_4194_b962_83a842d8c316.17","SOLAR HORNITOS","FOTOVOLTAICO","NO APLICA","0.320000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2013","382588","WGS/84","6931619.000000000000000","CNE","30-04-2015"
"18","solares_fd0779de_0870_4194_b962_83a842d8c316.18","SOLAR JAMA 1","FOTOVOLTAICO","NO APLICA","30.239999999999998","NO APLICA","317/2013","SING","EN OPERACION","2015","530898","WGS/84","7502272.000000000000000","CNE","31-03-2016"
"19","solares_fd0779de_0870_4194_b962_83a842d8c316.19","SOLAR JAMA 2","FOTOVOLTAICO","NO APLICA","22.410000000000000","NO APLICA","S/I","SING","EN OPERACION","2016","530898","WGS/84","7502272.000000000000000","CNE","31-03-2016"
"20","solares_fd0779de_0870_4194_b962_83a842d8c316.20","SOLAR JAVIERA","FOTOVOLTAICO","NO APLICA","65.000000000000000","NO APLICA","045/2014","SIC","EN OPERACION","2015","378141","WGS/84","7090103.000000000000000","CNE","30-09-2015"
"21","solares_fd0779de_0870_4194_b962_83a842d8c316.21","SOLAR LAS TERRAZAS","FOTOVOLTAICO","NO APLICA","3.000000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2014","367713","WGS/84","6943227.000000000000000","CNE","10-12-2014"
"22","solares_fd0779de_0870_4194_b962_83a842d8c316.22","SOLAR PSF CASAS BLANCAS","FOTOVOLTAICO","NO APLICA","2.000000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2014","306502","WGS/84","6547012.000000000000000","CNE","10-12-2014"
"23","solares_fd0779de_0870_4194_b962_83a842d8c316.23","SOLAR PSF LOMAS COLORADAS","FOTOVOLTAICO","NO APLICA","2.000000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2014","307273","WGS/84","6547980.000000000000000","CNE","10-12-2014"
"24","solares_fd0779de_0870_4194_b962_83a842d8c316.24","SOLAR SAN ANDRES","FOTOVOLTAICO","NO APLICA","50.600000000000001","NO APLICA","186/2013","SIC","EN OPERACION","2014","389995","WGS/84","6984918.000000000000000","CNE","10-12-2014"
"25","solares_fd0779de_0870_4194_b962_83a842d8c316.25","SOLAR TECHOS ALTAMIRA","FOTOVOLTAICO","NO APLICA","0.150000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2014","357100","WGS/84","6294539.000000000000000","CNE","10-12-2014"
"26","solares_fd0779de_0870_4194_b962_83a842d8c316.26","TAMBO REAL","FOTOVOLTAICO","NO APLICA","2.940000000000000","NO APLICA","NO APLICA","SIC","EN OPERACION","2012","329339","WGS/84","6674517.000000000000000","CNE","10-12-2014"
