"gid","rca","Sistema Eléctrico","gml_id","nombre","Propiedad","Tipo","combustibl","Potencia MW","Unidades","Fecha Operación","fuente_bas","Comuna","fech_crea_","fech_act"
"2","259/2009","MAGALLANES","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.2","CABO NEGRO, FASE I","METHANEX CHILE S.A.","EOLICA","NO APLICA","2,30","3.000000000000000","S/I","CNE","PUNTA ARENAS","10-12-2014","31-03-2016"
"6","NO APLICA","AISLADO","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.6","EL TOQUI","EMPRESA ELECTRICA DE AYSEN S.A.","EOLICA","NO APLICA","1,40","6.000000000000000","S/I","CNE","COYHAIQUE","18-03-2015","31-03-2016"
"1","190/2008","AYSEN","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.1","ALTO BAGUALES","EMPRESA ELECTRICA DE AYSEN S.A.","EOLICA","NO APLICA","1,98","3.000000000000000","2001","CNE","COYHAIQUE","10-12-2014","31-03-2016"
"3","63/2007; 150/2006","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.3","CANELA","ENDESAECO S.A.","EOLICA","NO APLICA","18,15","11.000000000000000","2007","CNE","CANELA","10-12-2014","31-03-2016"
"4","296/2008; 043/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.4","CANELA II","ENDESAECO S.A.","EOLICA","NO APLICA","60,00","40.000000000000000","2009","CNE","CANELA","10-12-2014","31-03-2016"
"5","044/2010","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.5","EL ARRAYAN","PARQUE EOLICO EL ARRAYAN SPA","EOLICA","NO APLICA","115,00","50.000000000000000","2014","CNE","OVALLE","18-03-2015","31-03-2016"
"7","031/2012","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.7","EOLICA CUEL","AELA EOLICA NEGRETE SPA","EOLICA","NO APLICA","33,00","22.000000000000000","2014","CNE","LOS ANGELES","18-03-2015","31-03-2016"
"8","351/2011","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.8","EOLICA SAN PEDRO","BOSQUES DE CHILOE S.A.","EOLICA","NO APLICA","36,00","20.000000000000000","2014","CNE","DALCAHUE","10-12-2014","31-03-2016"
"9","107/2012","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.9","HUAJACHE","PROYECTO HUAJACHE SPA","EOLICA","NO APLICA","6,00","2.000000000000000","2015","CNE","LEBU","31-03-2016","31-03-2016"
"10","069/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.10","LEBU","PARQUE EOLICO LEBU-TORO SPA","EOLICA","NO APLICA","6,54","7.000000000000000","2009","CNE","LEBU","10-12-2014","31-03-2016"
"11","213/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.11","LOS CURUROS","PARQUE EOLICO LOS CURUROS LTDA.","EOLICA","NO APLICA","109,60","57.000000000000000","2014","CNE","OVALLE","18-03-2015","31-03-2016"
"12","228/2007","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.12","MONTE REDONDO","EOLICA MONTE REDONDO S.A.","EOLICA","NO APLICA","48,00","24.000000000000000","2010","CNE","OVALLE","10-12-2014","31-03-2016"
"13","303/2008","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.13","PUNTA COLORADA","BARRICK CHILE GENERACION S.A.","EOLICA","NO APLICA","20,00","10.000000000000000","2011","CNE","LA HIGUERA","10-12-2014","31-03-2016"
"14","222/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.14","PUNTA PALMERAS","PUNTA PALMERAS S.A.","EOLICA","NO APLICA","45,00","15.000000000000000","2014","CNE","CANELA","10-12-2014","31-03-2016"
"15","107/2012","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.15","RAKI","PROYECTO RAKI SPA","EOLICA","NO APLICA","9,00","3.000000000000000","2015","CNE","LEBU","31-12-2015","31-03-2016"
"16","158/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.16","TALINAY ORIENTE","ENEL GREEN POWER CHILE Y P.A.","EOLICA","NO APLICA","90,00","45.000000000000000","2013","CNE","OVALLE","10-12-2014","31-03-2016"
"17","158/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.17","TALINAY PONIENTE","EMPRESA ELECTRICA PANGUIPULLI S.A.","EOLICA","NO APLICA","60,60","32.000000000000000","2015","CNE","OVALLE","31-04-2015","31-03-2016"
"18","166/2013","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.18","TALTAL","PARQUE EOLICO TAL TAL S.A.","EOLICA","NO APLICA","99,00","33.000000000000000","2015","CNE","TALTAL","18-03-2015","31-03-2016"
"19","080/2009","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.19","TOTORAL","NORVIND S.A.","EOLICA","NO APLICA","46,00","23.000000000000000","2010","CNE","CANELA","10-12-2014","31-03-2016"
"20","099/2012","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.20","UCUQUER","ENERGIAS UCUQUER S.A.","EOLICA","NO APLICA","7,20","4.000000000000000","2013","CNE","LITUECHE","18-03-2015","31-03-2016"
"21","099/2012","SIC","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.21","UCUQUER 2","ENERGIAS UCUQUER S.A.","EOLICA","NO APLICA","10,75","5.000000000000000","2014","CNE","LITUECHE","18-03-2015","31-03-2016"
"22","138/2010","SING","e_licas_98d2c1c6_f734_4bf9_ab4c_00c8ea5244ee.22","VALLE DE LOS VIENTOS","PARQUE EOLICO VALLE DE LOS VIENTOS S.A.","EOLICA","NO APLICA","90,00","45.000000000000000","2014","CNE","CALAMA","10-12-2014","31-03-2016"
