Code,Meaning
10YDE-VE-------2,"50Hertz CA, DE(50HzT) BZA"
10YAL-KESH-----5,"Albania, OST BZ / CA / MBA"
10YDE-RWENET---I,Amprion CA
10YAT-APG------L,"Austria, APG CA / MBA"
BY,Belarus
10Y1001A1001A51S,Belarus BZ / CA / MBA
10YBE----------2,"Belgium, Elia BZ / CA / MBA"
10YBA-JPCC-----D,"Bosnia Herzegovina, NOS BiH BZ / CA / MBA"
10YCA-BULGARIA-R,"Bulgaria, ESO BZ / CA / MBA"
10YDOM-CZ-DE-SKK,BZ CZ+DE+SK BZ / BZA
10YHR-HEP------M,"Croatia, HOPS BZ / CA / MBA"
10YDOM-REGION-1V,CWE Region
10YCY-1001A0003J,"Cyprus, Cyprus TSO BZ / CA / MBA"
10YCZ-CEPS-----N,"Czech Republic, CEPS BZ / CA/ MBA"
10Y1001A1001A63L,DE-AT-LU BZ
10Y1001A1001A82H,DE-LU MBA
10Y1001A1001A65H,Denmark
10YDK-1--------W,DK1 BZ / MBA
10YDK-2--------M,DK2 BZ / MBA
10Y1001A1001A796,Energinet CA
10Y1001A1001A39I,"Estonia, Elering BZ / CA / MBA"
10YFI-1--------U,"Finland, Fingrid BZ / CA / MBA"
10YMK-MEPSO----8,"Former Yugoslav Republic of Macedonia, MEPSO BZ / CA / MBA"
10YFR-RTE------C,"France, RTE BZ / CA / MBA"
10Y1001A1001A83F,Germany
10YGR-HTSO-----Y,"Greece, IPTO BZ / CA/ MBA"
10YHU-MAVIR----U,"Hungary, MAVIR CA / BZ / MBA"
IS,Iceland
10Y1001A1001A59C,Ireland (SEM) BZ / MBA
10YIE-1001A00010,"Ireland, EirGrid CA"
10YIT-GRTN-----B,"Italy, IT CA / MBA"
10Y1001A1001A885,Italy_Saco_AC
10Y1001A1001A893,Italy_Saco_DC
10Y1001A1001A699,IT-Brindisi BZ
10Y1001A1001A70O,IT-Centre-North BZ
10Y1001A1001A71M,IT-Centre-South BZ
10Y1001A1001A72K,IT-Foggia BZ
10Y1001A1001A66F,IT-GR BZ
10Y1001A1001A84D,IT-MACROZONE NORTH MBA
10Y1001A1001A85B,IT-MACROZONE SOUTH MBA
10Y1001A1001A877,IT-Malta BZ
10Y1001A1001A73I,IT-North BZ
10Y1001A1001A80L,IT-North-AT BZ
10Y1001A1001A68B,IT-North-CH BZ
10Y1001A1001A81J,IT-North-FR BZ
10Y1001A1001A67D,IT-North-SI BZ
10Y1001A1001A76C,IT-Priolo BZ
10Y1001A1001A77A,IT-Rossano BZ
10Y1001A1001A74G,IT-Sardinia BZ
10Y1001A1001A75E,IT-Sicily BZ
10Y1001A1001A788,IT-South BZ
10Y1001A1001A50U,Kaliningrad BZ / CA / MBA
10YLV-1001A00074,"Latvia, AST BZ / CA / MBA"
10YLT-1001A0008Q,"Lithuania, Litgrid BZ / CA / MBA"
10YLU-CEGEDEL-NQ,"Luxembourg, CREOS CA"
10Y1001A1001A93C,"Malta, Malta BZ / CA / MBA"
10YCS-CG-TSO---S,"Montenegro, CGES BZ / CA / MBA"
10YGB----------A,National Grid BZ / CA/ MBA
10YNL----------L,"Netherlands, TenneT NL BZ / CA/ MBA"
10YNO-1--------2,NO1 BZ / MBA
10YNO-2--------T,NO2 BZ / MBA
10YNO-3--------J,NO3 BZ / MBA
10YNO-4--------9,NO4 BZ / MBA
10Y1001A1001A48H,NO5 BZ / MBA
10YNO-0--------C,"Norway, Norway MBA, Stattnet CA"
10YDOM-1001A082L,PL-CZ BZA / CA
10YPL-AREA-----S,"Poland, PSE SA BZ / BZA / CA / MBA"
10YPT-REN------W,"Portugal, REN BZ / CA / MBA"
MD,Republic of Moldova
10YRO-TEL------P,"Romania, Transelectrica BZ / CA/ MBA"
10Y1001A1001A49F,Russia BZ / CA / MBA
RU,Russian Federation
10Y1001A1001A44P,SE1 BZ / MBA
10Y1001A1001A45N,SE2 BZ / MBA
10Y1001A1001A46L,SE3 BZ / MBA
10Y1001A1001A47J,SE4 BZ / MBA
10YCS-SERBIATSOV,"Serbia, EMS BZ / CA / MBA"
10YSK-SEPS-----K,"Slovakia, SEPS BZ / CA / MBA"
10YSI-ELES-----O,"Slovenia, ELES BZ / CA / MBA"
10Y1001A1001A016,SONI CA
10YES-REE------0,"Spain, REE BZ / CA / MBA"
10YSE-1--------K,"Sweden, Sweden MBA, SvK CA"
10YCH-SWISSGRIDZ,"Switzerland, Swissgrid BZ / CA / MBA"
10YDE-EON------1,TenneT GER CA
10YDE-ENBW-----N,TransnetBW CA
TR,Turkey
10YTR-TEIAS----W,Turkey BZ / CA / MBA
UA,Ukraine
10Y1001A1001A869,Ukraine BZ / CA / MBA
10YUA-WEPS-----0,Ukraine WEPS BZ / CA / MBA
GB,United Kingdom